Date Range,Service Providers,,,,,,,
"Jan 01,2023 to Dec 31,2023",All,,,,,,,
,,,,,,,,
Services/Classes,No of Appointments,No of Attendees,Service Sale,Service Add-On Sale,Class Sale,Class Add-On Sale,Cost To Business,Average Sale
Haircut and Root Color,94,35,"$11,785.00",--,--,--,"$1,070.00",$125.37
Womens Haircut,169,74,"$10,135.00",--,--,--,$340.00,$59.62
"Haircut, Root Color, and Highlights",38,15,"$6,800.00",--,--,--,$760.00,$178.95
Keratin Treatment,20,13,"$5,125.00",--,--,--,$500.00,$256.25
Root Color and a Blowout,53,21,"$4,740.00",--,--,--,$795.00,$89.43
Haircut and Highlights,23,13,"$4,015.00",--,--,--,$345.00,$174.57
Root Color and Highlights,21,15,"$3,502.00",--,--,--,$315.00,$166.76
Hair Color (All Over),31,20,"$3,267.00",--,--,--,$310.00,$105.39
Hair Color (Roots),37,17,"$2,560.00",--,--,--,$370.00,$69.19
"Haircut ,Root Color, Highlights, and a Glaze",10,9,"$2,110.00",--,--,--,$250.00,$211.00
Mens Haircut,61,16,"$1,825.00",--,--,--,$122.00,$29.92
Baylayage,9,8,"$1,731.50",--,--,--,$135.00,$192.39
Hairdreams Hair Cost,1,1,"$1,500.00",--,--,--,$15.00,"$1,500.00"
Hairdreams Application,8,3,"$1,435.00",--,--,--,$0.00,$179.38
Partial Highlights,9,6,"$1,145.00",--,--,--,$90.00,$127.22
Double Process,6,2,"$1,060.00",--,--,--,$90.00,$176.67
Toner,26,21,$675.00,--,--,--,$182.00,$25.96
Glaze / Gloss / Toner,14,10,$637.00,--,--,--,$112.00,$45.50
Full Highlights,4,4,$600.00,--,--,--,$60.00,$150.00
Fashion Color Consultation,2,2,$515.00,--,--,--,$0.00,$257.50
Hairdreams Consultation,3,3,$457.36,--,--,--,$0.00,$152.45
Hairdreams Removal,8,2,$450.00,--,--,--,$16.00,$56.25
Junior Haircut,10,7,$365.00,--,--,--,$20.00,$36.50
Kids Haircut,13,9,$335.00,--,--,--,$26.00,$25.77
Halo Highlights,2,1,$310.00,--,--,--,$30.00,$155.00
Airbrush Spray Tanning,5,3,$220.00,--,--,--,$50.00,$44.00
Bang / Neck Trim,16,15,$220.00,--,--,--,$0.00,$13.75
Babylights,1,1,$195.00,--,--,--,$15.00,$195.00
Root Shadow/ Root Melt,2,2,$150.00,--,--,--,$20.00,$75.00
Body Wave (Perm),1,1,$120.00,--,--,--,$10.00,$120.00
Accent Highlights,1,1,$115.00,--,--,--,$10.00,$115.00
Extra Bowl of Color,6,6,$95.00,--,--,--,$60.00,$15.83
Luxury Blowout,2,2,$90.00,--,--,--,$6.00,$45.00
Brow Tint,6,2,$60.00,--,--,--,$6.00,$10.00
Add-On: Shine Glaze,--,4,--,$60.00,--,--,$20.00,$15.00
Blowout,2,2,$45.00,--,--,--,$4.00,$22.50
Extra Product Charge,2,2,$45.00,--,--,--,$20.00,$22.50
Extensions Coloring,1,1,$40.00,--,--,--,$10.00,$40.00
Add-On: Moisturized Mane,--,2,--,$30.00,--,--,$0.00,$15.00
Extra Long Hair,1,1,$20.00,--,--,--,$0.00,$20.00
Add-On: Bond Builder,--,1,--,$20.00,--,--,$5.00,$20.00
Add-On: Scalp Treatment,--,1,--,$15.00,--,--,$5.00,$15.00
Add-On: Scalp Massage,--,1,--,$10.00,--,--,$5.00,$10.00
Add-On: Bang Trim,--,1,--,$10.00,--,--,$5.00,$10.00
Add-On: Aromatherapy Wash,--,1,--,$10.00,--,--,$5.00,$10.00
Total,727,375,"$68,514.86",$155.00,$0.00,$0.00,"$6,209.00",$94.40
