Timestamp,Project ID,Year of Production,Was the Project Non-Union?,Was the Project Union?,Was there SAG Talent involved in the project?,Estimated Production Budget (range is an acceptable answer),Primary Deliverable Runtime,Which aspect ratio(s) was the primary deliverable exported as? (Check any or all that apply),Were there additional cut-downs of the primary deliverable?,What was the overall type of camera used for the project?,What platform(s) was the project delivered for?,"Was this a Branded Content Commercial, or a Music Video?"
12/21/2023 15:58:37,LLAB,2022,Yes,No,Yes,125000,0:00:60 (60 seconds),"16x9, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Television Broadcast, Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 15:59:36,MPPUD,2023,Yes,No,Yes,50000,0:00:30 (30 seconds),"16x9, 1:1",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Branded Content Commercial / Product Ad
12/21/2023 15:59:48,EVDSY,2019,Yes,No,No,"$50,000.00",0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 16:00:20,BHREC,2023,Yes,No,No,20000,0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 16:01:06,CGMEY,2022,Yes,No,Yes,75000,0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website), OTT / Steaming Channels",Music Video
12/21/2023 16:01:26,MKTM,2019,Yes,No,Yes,"$75,000.00",0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 16:02:01,NJFC,2022,Yes,No,No,20000,0:00:60 (60 seconds),"16x9, 1:1",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:02:35,CDYMK,2019,Yes,No,Yes,"$55,000.00",Above 60 seconds but less than five minutes,16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Music Video
12/21/2023 16:03:37,GGSL,2019,Yes,No,No,"$7,000.00-$10,000.00",0:00:60 (60 seconds),"16x9, 1:1",Yes,"DSLR or Mirrorless (Sony, Canon, Fuji)","Social Media Channels (i.e. IG, TikTok, Snapchat)",Branded Content Commercial / Product Ad
12/21/2023 16:04:32,ACTBG,2019,Yes,No,No,"$85,000.00",0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:05:26,ADDOZ,2019,Yes,No,No,"$60,000.00-$80,000.00",0:00:30 (30 seconds),"16x9, 9x16, 1:1",Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:06:24,PMLGCY,2019,Yes,No,No,"$90,000.00",0:00:30 (30 seconds),16x9,Yes,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
12/21/2023 16:07:26,BTXM,2019,Yes,No,Yes,"$150,000.00-$200,000.00",0:00:60 (60 seconds),16x9,No,"Cinema Camera (Alexa Mini/LF/35, RED, Sony Venice)","Social Media Channels (i.e. IG, TikTok, Snapchat), Digital / Web (i.e. YouTube, Facebook, Website)",Branded Content Commercial / Product Ad
