Order #,Order Date,How important is personalization when selecting a graduation gift?,What type of custom graduation gifts have you considered or purchased?,Do you prefer functional or sentimental custom graduation gifts?,Are there any specific graduation themes or motifs you find particularly attractive?,Would you be willing to pay extra for premium customization options?,What school semester did you purchase your gift for?,"On average, how much do you spend on custom graduation gifts?",Which specific item(s) from our collection have you purchased before?,How long in advance do you plan your custom graduation gift purchases?,What Zip are you purchasing gifts from?,What is the age of the person receiving the custom gift?, How likely are you to recommend a store that offers a wide range of custom graduation gift choices?,What is the gender of the person receiving the gift?,Is price a determining factor when choosing a custom graduation gift?,How did you hear about Miss.Kay B Kreations?,Days to Ship Item
US54686,1/5/2023,Very important.,Tumbler,Sentimental,Classic Cap and Gown,"Yes, absolutely.",Spring,$50.00 ,Monogrammed keychain,Several months ahead,39201,22,Extremely likely,Female,"Yes, price is a significant factor.",Facebook,It was sent a few days ago.
US45447,1/8/2023,Not important.,Badge,Functional,Timeless Elegance,"No, not at all.",Summer,$120.00 ,Keepsake box with custom engraving,A few weeks before the celebration,39110,18,Very likely,Male,"No, price is not a deciding factor.",Instagram,Shipped within the past week.
US34825,1/10/2023,Neutral.,Pen,Sentimental,Adventure Awaits,It depends on the extent of customization.,Summer,$30.00 ,Personalized tumbler,About a month in advance,39401,21,Moderately likely,Prefer not to say,"Somewhat, it depends on the item.",Word of mouth,Sent two weeks ago.
US97854,1/13/2023,Very important.,Picture frames,Functional,Academic Achievements,"Maybe, if the options are unique.",Spring,$80.00 ,Custom cup with graduation details,"Well in advance, almost a year",39211,20,Somewhat likely,Female,"It matters, but quality is more important.",Business cards,Dispatched a few business days back.
US34574,1/15/2023,Neutral.,Wine glasses,Sentimental,Celestial Celebration,"Definitely, for a one-of-a-kind design.",Summer,$150.00 ,Monogrammed nurse badge,"Last-minute, just a few days before",39501,19,Neutral,Male,"Absolutely, I have a budget to consider.",Friend's recommendation on Facebook,Mailed approximately a week ago.
US83453,1/17/2023,Not important.,Graduation hat,Functional,Vintage Vibes,I would consider it for special occasions.,Spring,$20.00 ,Graduation cap with unique design,A couple of months ahead,38801,22,Somewhat unlikely,Prefer not to say,"Not really, sentimental value matters more.",Instagram posts,It's been in transit for several days.
US2098,1/20/2023,Very important.,Graduation fans,Functional,Modern Minimalism,"No, I prefer standard customization.",Spring,$180.00 ,Customized graduation stole,Right after receiving the graduation announcement,39209,18,Moderately unlikely,Female,"It can be, but uniqueness is crucial.",Family member's referral,The package was sent last week.
US3056,1/22/2023,Not important.,Graduation shirt,Sentimental,Floral Flourish,"Yes, if it enhances the overall quality.",Summer,$60.00 ,Personalized mug with graduation date,As soon as the graduation date is confirmed,39206,21,Very unlikely,Male,"No, the thought behind the gift matters most.",Facebook ads,Dispatched just a couple of days ago.
US4087,1/25/2023,Neutral.,Graduation stole,Functional,Rustic Charm,"I might, depending on the available options.",Spring,$100.00 ,Tote bag with custom embroidery,Typically a month or two prior,39301,20,Extremely unlikely,Prefer not to say,"Yes, within a reasonable price range.",Colleague's suggestion on Instagram,Sent around ten days back.
US1523,1/28/2023,Very important.,Tumbler,Sentimental,Global Graduation,"No, I prefer budget-friendly choices.",Summer,$15.00 ,Custom journal with graduation theme,I start planning right after the school year begins,39402,19,Highly probable,Female,"Price matters, but so does craftsmanship.",Instagram ads,It's been in the mail for a week.
US6074,1/31/2023,Neutral.,Picture frames,Sentimental,Glamorous Gold and Black,"Certainly, for a personalized touch.",Summer,$90.00 ,Name plate with personalized details,About three months in advance,39208,22,Not probable at all,Male,"Not necessarily, I prioritize the recipient's taste.",Neighbor's recommendation,Dispatched within the last few days.
US8941,2/1/2023,Not important.,Pen,Functional,Whimsical Wonderland,I'd weigh the benefits before deciding.,Spring,$40.00 ,Keychain with graduation charm,I decide on the gift around six months ahead,39601,18,I would highly recommend it,Prefer not to say,"Yes, I look for affordable options.",Facebook page,Mailed approximately two weeks ago.
US5062,2/4/2023,Very important.,Wine glasses,Functional,Artistic Expression,"No, I prioritize affordability.",Spring,$130.00 ,Monogrammed keepsake box,"Last-minute, but always with enough time for delivery",39503,21,I might recommend it,Female,"No, I prefer investing in a lasting keepsake.",Business cards shared by a friend,It's been on its way for several days now.
US7129,2/5/2023,Neutral.,Graduation hat,Sentimental,Nature's Palette,"Yes, for exclusive and premium features.",Summer,$25.00 ,Engraved tumbler for memories,I plan custom gifts simultaneously with party preparations,39212,20,It's possible I would recommend it,Male,"It's a factor, but not the only one.",Instagram stories,The package was sent about a week ago.
US9418,2/8/2023,Not important.,Graduation stole,Functional,Tech and Innovation,It would depend on the product being customized.,Spring,$170.00 ,Custom cup with graduation artwork,"Usually, it's a spontaneous decision",38804,20,I'm on the fence about recommending it,Prefer not to say,"Price matters, but I consider sales and discounts.",Facebook group post,Dispatched within the last business week.
US2035,2/12/2023,Very important.,Badge,Sentimental,Under the Stars,I might for limited edition customization.,Summer,$70.00 ,Nurse badge with personalized touch,Immediately upon receiving the graduation party invitation,39110,38,The chances of recommending are high,Female,I focus on the value rather than the price.,Word of mouth from a family member,Shipped around three days back.
US8106,2/15/2023,Not important.,Graduation fans,Functional,Cultural Fusion,"No, I'd rather keep it simple.",Spring,$110.00 ,Graduation cap adorned with uniqueness,I plan throughout the entire school year,39201,23,It's somewhat likely that I would recommend,Male,"Yes, I try to find cost-effective options.",Instagram influencers,Sent a little over a week ago.
US4573,2/18/2023,Neutral.,Graduation shirt,Functional,Bookish Brilliance,"Absolutely, for top-notch craftsmanship.",Summer,$10.00 ,Customized graduation stole for flair,I decide a few days before the celebration,39401,42,The store is highly recommendable,Prefer not to say,"No, I prioritize the significance of the gift.",Online search leading to the Facebook page,It's been in transit for about two weeks.
US6592,2/19/2023,Very important.,Tumbler,Sentimental,Retro Revival,I'd consider it for a significant event.,Spring,$190.00 ,Personalized mug for daily use,I begin planning during the winter months,39501,29,I may consider recommending it,Female,"It matters, but I also consider the brand.",Business cards at a local event,The package was sent earlier this week.
US3148,2/22/2023,Neutral.,Wine glasses,Sentimental,Futuristic Fête,"Yes, if it guarantees superior quality.",Summer,$45.00 ,Tote bag with custom stitching,"Generally, it's a last-minute decision",39211,55,It's a recommendable store,Male,"Yes, I have a specific budget in mind.",Friend's Instagram post,Dispatched approximately five days ago.
US5782,2/26/2023,Not important.,Graduation hat,Functional,Cinematic Excellence,I'm open to it for unique designs.,Spring,$85.00 ,Custom journal capturing memories,I plan during the semester leading up to graduation,39110,26,The likelihood of recommending is strong,Prefer not to say,"No, I prefer timeless and meaningful gifts.",Facebook sponsored content,Mailed around a week and a half ago.
US1094,2/28/2023,Very important.,Picture frames,Functional,Motivational Milestones,"No, I stick to standard options.",Summer,$160.00 ,Name plate with a touch of personalization,Right after the graduation ceremony is announced,39402,33,I wouldn't rule out recommending it,Female,"It plays a role, but I also consider quality.",Instagram sponsored post,It's been on the way for ten days.
US7635,3/1/2023,Neutral.,Graduation stole,Sentimental,Nautical Nostalgia,I'd think about it for a special gift.,Spring,$55.00 ,Keychain commemorating graduation,I start planning right after the holiday season,39209,19,I'm undecided about recommending,Male,"Yes, especially if buying multiple gifts.",Word of mouth within a community event,Sent within the past few business days.
US2650,3/5/2023,Not important.,Pen,Functional,Urban Chic,"Yes, for high-quality materials.",Summer,$200.00 ,Monogrammed tumbler for refreshment,"Usually, it's a few months ahead",39208,48,I could see myself recommending it,Prefer not to say,"No, I focus on the recipient's preferences.",Business cards distributed at a craft fair,Dispatched about two weeks ago.
US9203,3/8/2023,Very important.,Badge,Sentimental,Time Traveler's Tale,"No, I'd rather save on customization.",Spring,$35.00 ,Keepsake box with engraved memories,I decide on the gift during the spring semester,39301,31,It's a store I would consider recommending,Female,"Price is a consideration, but not the sole one.",Facebook event page,Shipped within the last seven days.
US6841,3/11/2023,Neutral.,Graduation shirt,Functional,Ethereal Enchantment,It depends on the value of the premium options.,Summer,$140.00 ,Custom cup celebrating achievement,"Typically, it's a few weeks in advance",39503,24,The probability of recommending is high,Male,"Yes, I stick to a predetermined budget.",Instagram shoutout from a friend,It's been in transit for a week now.
US5309,3/14/2023,Not important.,Graduation fans,Sentimental,Athletic Achievement,"Absolutely, for premium materials and craftsmanship.",Summer,$75.00 ,Nurse badge with custom details,I plan well ahead to ensure a thoughtful gift,39601,28,I'm inclined to recommend it,Prefer not to say,"No, I aim for a unique and thoughtful gift.",Word of mouth at a wedding expo,The package was sent just a few days ago.
